title,soldprice,solddate,link
2017 Prizm Card Aaron Rodgers #1,0.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2017-Prizm-Card-Aaron-Rodgers-1/254655412352?hash=item3b4aa53880:g:p2gAAOSwZSxfEGIc
2020 Rookies and Stars Ticket Masters #2 Aaron Rodgers Packers,1.11,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2020-Rookies-and-Stars-Ticket-Masters-2-Aaron-Rodgers-Packers/224355122455?hash=item343c9b7d17:g:y7UAAOSwqKZgHkH8
Green Bay Packers - 14 Box Mixer Break Optic Prizm Playoff Illusions,91.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Green-Bay-Packers-14-Box-Mixer-Break-Optic-Prizm-Playoff-Illusions/402695514357?hash=item5dc285e8f5:g:NVcAAOSwcvFgKxFt
2005 Sage Aaron Rodgers Rookie Card RC #8 Packers F85,9.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Sage-Aaron-Rodgers-Rookie-Card-RC-8-Packers-F85/373463540056?hash=item56f4296158:g:H-sAAOSw199gLIMv
2005 Press Pass Aaron Rodgers Rookie Card RC #9 Packers F84,8.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Press-Pass-Aaron-Rodgers-Rookie-Card-RC-9-Packers-F84/373463539921?hash=item56f42960d1:g:BgMAAOSwBS5gLIMI
2005 Upper Deck Aaron Rodgers Rookie Debut Card RC #126 Packers F84,31.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Upper-Deck-Aaron-Rodgers-Rookie-Debut-Card-RC-126-Packers-F84/124577050027?hash=item1d015eedab:g:J7YAAOSw32BgLIL~
2005 Press Pass SE Aaron Rodgers Rookie Card RC #7 Packers (B) F84,8.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Press-Pass-SE-Aaron-Rodgers-Rookie-Card-RC-7-Packers-B-F84/373463539869?hash=item56f429609d:g:nDwAAOSwpZtgLIL8
2005 Press Pass SE Aaron Rodgers Rookie Card RC #G40 Packers F84,4.25,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Press-Pass-SE-Aaron-Rodgers-Rookie-Card-RC-G40-Packers-F84/124577049993?hash=item1d015eed89:g:o7cAAOSwkvRgLIL5
2005 Press Pass SE Aaron Rodgers Rookie Card RC #7 Packers (A) F84,4.25,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Press-Pass-SE-Aaron-Rodgers-Rookie-Card-RC-7-Packers-A-F84/373463539860?hash=item56f4296094:g:vgoAAOSwzJBgLIL2
2005 Press Pass Aaron Rodgers Paydirt Rookie Card RC #PD11/12 Packers F84,2.47,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Press-Pass-Aaron-Rodgers-Paydirt-Rookie-Card-RC-PD11-12-Packers-F84/124577049968?hash=item1d015eed70:g:n6cAAOSwjWJgLIL0
2005 Topps Aaron Rodgers Rookie Card RC #431 Packers F84,161.19,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Topps-Aaron-Rodgers-Rookie-Card-RC-431-Packers-F84/124577049956?hash=item1d015eed64:g:g3EAAOSw-JBgLILx
Aaron Rodgers 2005 Topps Green Bay Packers Rookie Card RC Rare MVP #431 🔥,175.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Aaron-Rodgers-2005-Topps-Green-Bay-Packers-Rookie-Card-RC-Rare-MVP-431/402694559184?hash=item5dc27755d0:g:JCIAAOSwvBRgK18T
