title,soldprice,solddate,link
DREW BREES 2001 FLEER PREMIUM ROOKIE RC CARD #1438/2001 BCCG 9!,150.0,"Sold  Feb 22, 2021",https://www.ebay.com/itm/DREW-BREES-2001-FLEER-PREMIUM-ROOKIE-RC-CARD-1438-2001-BCCG-9/174032134936?hash=item28851fa318:g:mYMAAOSwcStdfutX
2001 Drew Brees Fleer Premium Rookie Rc /2001 Card #214,99.99,"Sold  Feb 22, 2021",https://www.ebay.com/itm/2001-Drew-Brees-Fleer-Premium-Rookie-Rc-2001-Card-214/143920997538?hash=item21825c24a2:g:-PUAAOSw5aRgBLPh
Drew Brees (Lot of 5) Chargers - very low starting bids!,10.5,"Sold  Feb 22, 2021",https://www.ebay.com/itm/Drew-Brees-Lot-of-5-Chargers-very-low-starting-bids/114686185063?hash=item1ab3d44e67:g:gOEAAOSw4cdgKsMF
Drew Brees lot + 1  rookie AUTO GUARANTEED,45.0,"Sold  Feb 22, 2021",https://www.ebay.com/itm/Drew-Brees-lot-1-rookie-AUTO-GUARANTEED/284190434512?hash=item422b11e4d0:g:oGgAAOSwRRpgL~FE
"Drew Brees 2001 UD Pros & Prospects ""Future Fame"" Rookie #F3 SGC 8 NM-MT",49.99,"Sold  Feb 22, 2021",https://www.ebay.com/itm/Drew-Brees-2001-UD-Pros-Prospects-Future-Fame-Rookie-F3-SGC-8-NM-MT/193787602736?hash=item2d1ea42730:g:fzgAAOSwnA9fzu0S
2002 NFL SHOWDOWN 1ST & GOAL FOIL #116 DREW BREES NEW ORLEANS SAINTS,14.99,"Sold  Feb 22, 2021",https://www.ebay.com/itm/2002-NFL-SHOWDOWN-1ST-GOAL-FOIL-116-DREW-BREES-NEW-ORLEANS-SAINTS/303682873045?epid=2149682872&hash=item46b4e8e6d5:g:OJwAAOSw6AhfWcW3
2001 Topps #328 Drew Brees Chargers Rookie SGC 9 Mint Condition,279.0,"Sold  Feb 22, 2021",https://www.ebay.com/itm/2001-Topps-328-Drew-Brees-Chargers-Rookie-SGC-9-Mint-Condition/114693791287?hash=item1ab4485e37:g:UlIAAOSw32BgL~Ry
2001 DREW BREES  SAGE HIT 'DIE CUT FOILBOARD' AUTO #A15 RC BGS 9.5+ !!  POP 6 $$,975.0,"Sold  Feb 22, 2021",https://www.ebay.com/itm/2001-DREW-BREES-SAGE-HIT-DIE-CUT-FOILBOARD-AUTO-A15-RC-BGS-9-5-POP-6/114695022049?hash=item1ab45b25e1:g:358AAOSwNWhbzim8
Drew Brees Rookie Card 2001 Press Pass Big Numbers #BN1 PSA 9,72.0,"Sold  Feb 22, 2021",https://www.ebay.com/itm/Drew-Brees-Rookie-Card-2001-Press-Pass-Big-Numbers-BN1-PSA-9/363163760632?hash=item548e3f37f8:g:-M8AAOSwhodfoGJc
"2001 FLEER FOCUS FOOTBALL 5 PACKS FACTORY SEALED 40 Cards Plummer, K. Stewart",10.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2001-FLEER-FOCUS-FOOTBALL-5-PACKS-FACTORY-SEALED-40-Cards-Plummer-K-Stewart/233896927394?epid=23035838310&hash=item367557e0a2:g:a3AAAOSwt81gIM21
2001 topps drew brees rookie card Reprint #328 Mint Condition,6.01,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2001-topps-drew-brees-rookie-card-Reprint-328-Mint-Condition/124574454979?hash=item1d013754c3:g:KMMAAOSwwlVgIMyl
2001 Unopened Upper Deck Football Pack🔥Possible Drew Brees Rookie🔥,17.98,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2001-Unopened-Upper-Deck-Football-Pack-Possible-Drew-Brees-Rookie/254677200939?hash=item3b4bf1b02b:g:hYIAAOSwQgZfKd0r
DREW BREES 2001 UPPER DECK VINTAGE ROOKIE CARD #251  RC,27.95,"Sold  Feb 21, 2021",https://www.ebay.com/itm/DREW-BREES-2001-UPPER-DECK-VINTAGE-ROOKIE-CARD-251-RC/224348755497?hash=item343c3a5629:g:4zoAAOSwXZtgJZVn
2001 UPPER DECK VINTAGE FOOTBALL DREW BREES RC CHARGERS #251  ,20.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2001-UPPER-DECK-VINTAGE-FOOTBALL-DREW-BREES-RC-CHARGERS-251/363293024109?hash=item5495f39f6d:g:vEUAAOSwG8tgKPZj
2001 FLEER FOCUS ROOKIE SAINTS DREW BREES SP /1850,45.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2001-FLEER-FOCUS-ROOKIE-SAINTS-DREW-BREES-SP-1850/133670406874?hash=item1f1f608ada:g:c68AAOSw4oBgMLYT
New Orleans Saints - 14 Box Mixer Break Optic Prizm Playoff Illusions,20.51,"Sold  Feb 21, 2021",https://www.ebay.com/itm/New-Orleans-Saints-14-Box-Mixer-Break-Optic-Prizm-Playoff-Illusions/402695521908?hash=item5dc2860674:g:q3IAAOSw~4tgKxYk
2020 Prizm Michael Thomas 🔥 NO Saints New Orleans SILVER HOLO 🔥 244,4.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2020-Prizm-Michael-Thomas-NO-Saints-New-Orleans-SILVER-HOLO-244/154332055852?hash=item23eee8492c:g:7sUAAOSw31xfzTyS
