title,soldprice,solddate,link
Kobe Bryant 1996-97 Upper Deck UD3 #43 Rookie Card RC Aerial Artists LA Lakers,52.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Kobe-Bryant-1996-97-Upper-Deck-UD3-43-Rookie-Card-RC-Aerial-Artists-LA-Lakers/383957194007?hash=item5965a1d517:g:bpwAAOSwH1JgKuD7
"1996 The Score Board All Sport PPF Kobe Bryant Rookie RC #11, Lakers, MVP, HOF",1.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-The-Score-Board-All-Sport-PPF-Kobe-Bryant-Rookie-RC-11-Lakers-MVP-HOF/294015005739?hash=item4474a8f42b:g:6nMAAOSwJDhgKZ3a
New Listing1996-97 Skybox Premium #55 Kobe Bryant Rookie RC PSA 10 Gem Mint Lakers,999.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-Skybox-Premium-55-Kobe-Bryant-Rookie-RC-PSA-10-Gem-Mint-Lakers/184675262141?hash=item2aff80debd:g:uYYAAOSwLQtgMtY5
1996-97 SP Authentic Kobe Bryant Rookie RC #134 Clean Card Gradeable,31.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-SP-Authentic-Kobe-Bryant-Rookie-RC-134-Clean-Card-Gradeable/193892853745?hash=item2d24ea27f1:g:s5MAAOSwPzhgKZx9
1996-97 Topps Kobe Bryant 138 rookie,485.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-Topps-Kobe-Bryant-138-rookie/333886895424?hash=item4dbd35b540:g:5LkAAOSwKVBgJagd
1996-97 Kobe Bryant Skybox Premium Rookie Card #203 RC MINT?,105.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-Kobe-Bryant-Skybox-Premium-Rookie-Card-203-RC-MINT/383955689776?hash=item59658ae130:g:6oYAAOSwQUFgKZvB
1996-97 Topps Stadium Club Rookie Card #R9 Kobe Bryant RC,60.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-Topps-Stadium-Club-Rookie-Card-R9-Kobe-Bryant-RC/114688590896?hash=item1ab3f90430:g:hYIAAOSwajtgFTTp
"1996 SCORE BOARD BASKETBALL ROOKIES 100 CARD SET - KOBE BRYANT, RAY ALLEN, +++",7.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-SCORE-BOARD-BASKETBALL-ROOKIES-100-CARD-SET-KOBE-BRYANT-RAY-ALLEN/203281051766?hash=item2f547eb076:g:XVwAAOSwPzhgLDwn
"1996  KOBE BRYANT  UPPER DECK  "" ROOKIE "" ONE ON ONE  # 361   ,LAKERS  F/HOF *2",3.85,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-KOBE-BRYANT-UPPER-DECK-ROOKIE-ONE-ON-ONE-361-LAKERS-F-HOF-2/154048766881?hash=item23de05a3a1:g:WiUAAOSwq9NZvqp0
Kobe Bryant RC 1996-97 Fleer Ultra Rookie Card #52 Lot #2,117.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Kobe-Bryant-RC-1996-97-Fleer-Ultra-Rookie-Card-52-Lot-2/383955685474?hash=item59658ad062:g:R1gAAOSwL0pgKZpm
