title,soldprice,solddate,link
Michael Jordan 1986 Fleer Rookie Basketball Card #57 PSA 8 *Very HIgh-End*,17636.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Rookie-Basketball-Card-57-PSA-8-Very-HIgh-End/402702970626?hash=item5dc2f7af02:g:UGEAAOSwC~pgMX1T
1986 Fleer Basketball Michael Jordan ROOKIE RC #57 PSA 8 NM-MT,15000.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Basketball-Michael-Jordan-ROOKIE-RC-57-PSA-8-NM-MT/224354752806?hash=item343c95d926:g:vIcAAOSwxepgLDdm
1986 Fleer Michael Jordan Rookie Card RP#57 Perfect Condition! Rare! Mint!,76.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Card-RP-57-Perfect-Condition-Rare-Mint/124574050248?hash=item1d013127c8:g:mVsAAOSw7YRgKZHd
1986 Fleer Michael Jordan Rookie Psa 8 Crisp Sharp Corners #57 New Case CLEAN!,14999.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Psa-8-Crisp-Sharp-Corners-57-New-Case-CLEAN/254868054272?hash=item3b5751e100:g:VikAAOSwf-5gKZBv
MICHAEL JORDAN 1986 FLEER ROOKIE STICKER BULLS PSA 8 Read Desc. (ST) #8 🐐,5402.84,"Sold  Feb 21, 2021",https://www.ebay.com/itm/MICHAEL-JORDAN-1986-FLEER-ROOKIE-STICKER-BULLS-PSA-8-Read-Desc-ST-8/303888365843?hash=item46c1287913:g:wPgAAOSwXZtgK8WS
1986 Fleer Premier Michael Jordan Rookie Card  RP#57 Bulls Rare Rookie Reprint ,100.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Premier-Michael-Jordan-Rookie-Card-RP-57-Bulls-Rare-Rookie-Reprint/303886473214?hash=item46c10b97fe:g:bOgAAOSwa3BgKYia
Michael Jordan 1986 Fleer Rookie Card Reprint Very Nice Collection Card,4.9,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Rookie-Card-Reprint-Very-Nice-Collection-Card/265056432769?hash=item3db6983281:g:zu0AAOSw2vpfoHsk
1988 KENNER STARTING LINEUP MICHAEL JORDAN ROOKIE WITH CARD BRAND NEW! Lot,226.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1988-KENNER-STARTING-LINEUP-MICHAEL-JORDAN-ROOKIE-WITH-CARD-BRAND-NEW-Lot/294014928160?hash=item4474a7c520:g:ocEAAOSw4UVgKX4-
1986-87 Fleer Michael Jordan #57 Rookie Graded Beckett 3.5 (Centering Sub 9),4850.05,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-87-Fleer-Michael-Jordan-57-Rookie-Graded-Beckett-3-5-Centering-Sub-9/333890147363?hash=item4dbd675423:g:CI0AAOSwE0BgKYoJ
Michael Jordan 1986 Rookie Card Fleer Premier PSA Authentic Altered AA *RARE*,3499.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Rookie-Card-Fleer-Premier-PSA-Authentic-Altered-AA-RARE/184667586217?hash=item2aff0bbea9:g:RiQAAOSwimFgJIoH
