title,soldprice,solddate,link
2019 Panini Prizm Draft Picks Zion Williamson Lot (5) ROOKIE RC Crusade Duke ,26.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-Panini-Prizm-Draft-Picks-Zion-Williamson-Lot-5-ROOKIE-RC-Crusade-Duke/164703167207?hash=item265912e2e7:g:RpcAAOSwge9gKS9u
2019 Panini Prizm Zion Williamson #1 PSA 9 MINT ROOKIE CARD  RC  White Jersey,89.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-Panini-Prizm-Zion-Williamson-1-PSA-9-MINT-ROOKIE-CARD-RC-White-Jersey/124582801689?hash=item1d01b6b119:g:-7EAAOSwXSpgMI-R
19-20 Mosaic Basketball ZION WILLIAMSON Rookie GEM MINT 9.5 🔥🔥Zion RC Invest ,38.07,"Sold  Feb 21, 2021",https://www.ebay.com/itm/19-20-Mosaic-Basketball-ZION-WILLIAMSON-Rookie-GEM-MINT-9-5-Zion-RC-Invest/363292705478?hash=item5495eec2c6:g:X9YAAOSwyWdgGJDx
Graded 10!! Zion Williamson RC 2019 Chronicles NBA Rookie Basketball Card #120 ,16.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Graded-10-Zion-Williamson-RC-2019-Chronicles-NBA-Rookie-Basketball-Card-120/233898846936?hash=item3675752ad8:g:ov8AAOSwRetfyoVk
New Listing2019-20 Chronicles Luminance Zion Williamson Base Rookie Card #143 PELICANS,8.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Chronicles-Luminance-Zion-Williamson-Base-Rookie-Card-143-PELICANS/184673715648?hash=item2aff6945c0:g:8rAAAOSwSvlgMaCQ
ZION WILLIAMSON 2019 PREMIUM STOCK HOOPS LASER #296 TRIBUTE SP ROOKIE RC MINT ,26.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/ZION-WILLIAMSON-2019-PREMIUM-STOCK-HOOPS-LASER-296-TRIBUTE-SP-ROOKIE-RC-MINT/373463262040?hash=item56f4252358:g:rLkAAOSwx1dgLDt1
Zion Williamson 2019-20 NBA Hoops Premium Stock #296 Rookie Tribute ,6.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-2019-20-NBA-Hoops-Premium-Stock-296-Rookie-Tribute/133670753484?hash=item1f1f65d4cc:g:xs8AAOSw-IlgMSPw
Zion Williamson 2019 Panini The National VIP Case Breaker Rookie RC BGS 9.5 SSP,450.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-2019-Panini-The-National-VIP-Case-Breaker-Rookie-RC-BGS-9-5-SSP/293503731453?hash=item44562f86fd:g:mp4AAOSwtQJe1LCn
2019-20 Donruss Optic Zion Williamson Rated Rookie No. 158 New Orleans Pelicans,57.1,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Donruss-Optic-Zion-Williamson-Rated-Rookie-No-158-New-Orleans-Pelicans/224337839092?hash=item343b93c3f4:g:GDAAAOSwUp1gGg3W
PSA 10 2019 Panini NBA Hoops Zion Williamson Tribute RC Rookie #296 Pelicans,70.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/PSA-10-2019-Panini-NBA-Hoops-Zion-Williamson-Tribute-RC-Rookie-296-Pelicans/224359448190?hash=item343cdd7e7e:g:twQAAOSw~1pgMYBo
