title,soldprice,solddate,link
2019 Panini Hoops #258 Zion Williamson Pelicans RC Rookie PSA 10 GEM MINT,145.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-Panini-Hoops-258-Zion-Williamson-Pelicans-RC-Rookie-PSA-10-GEM-MINT/353367077939?hash=item524651b433:g:U2wAAOSwZzRgEFXc
2019-20 Panini Donruss NBA Basketball ZION WILLIAMSON Rated Rookie Card RC #201,29.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-Donruss-NBA-Basketball-ZION-WILLIAMSON-Rated-Rookie-Card-RC-201/124538044904?hash=item1cff0bc1e8:g:KSsAAOSwkVBgCSFW
2019-20 Panini NBA Hoops #258 Zion Williamson Purple Pelicans RC Rookie,45.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-NBA-Hoops-258-Zion-Williamson-Purple-Pelicans-RC-Rookie/353353945562?hash=item52458951da:g:PEwAAOSw9WBgAK78
2019-20 Zion Williamson Status Tmall Upper Echelon Rookie Card SP Insert!,40.88,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Zion-Williamson-Status-Tmall-Upper-Echelon-Rookie-Card-SP-Insert/274688629496?hash=item3ff4b7daf8:g:yzkAAOSwoTlgLv7m
Lot Of 2 Zion Williamson Panini Chronicles Pink And Base Threads Rookie Cards,22.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Lot-Of-2-Zion-Williamson-Panini-Chronicles-Pink-And-Base-Threads-Rookie-Cards/124540287259?hash=item1cff2df91b:g:YpQAAOSwWplfTwpm
2019/20 Panini DONRUSS ZION WILLIAMSON RC/ROOKIE PELICANS #201 PSA 9 MINT ,52.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-DONRUSS-ZION-WILLIAMSON-RC-ROOKIE-PELICANS-201-PSA-9-MINT/233896341993?hash=item36754ef1e9:g:AEgAAOSwOVhgKW3S
2019 Panini Select ZION WILLIAMSON Courtside Red Wave PRIZM Rookie #297 PSA 10,2998.98,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-Panini-Select-ZION-WILLIAMSON-Courtside-Red-Wave-PRIZM-Rookie-297-PSA-10/274605957945?hash=item3fefca6339:g:gP4AAOSweR9fz77F
Mystery Pack All Rookies Multi-Sport !!!!?,5.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Mystery-Pack-All-Rookies-Multi-Sport/143949011912?hash=item2184079bc8:g:ep0AAOSwppZgKbeu
2019/20 Panini DONRUSS ZION WILLIAMSON RC/ROOKIE PELICANS #201 PSA 9 MINT ,49.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-DONRUSS-ZION-WILLIAMSON-RC-ROOKIE-PELICANS-201-PSA-9-MINT/233896341558?hash=item36754ef036:g:AEgAAOSwOVhgKW3S
2019-20 Panini Chronicles Playbook Zion Williamson RC Rookie (Lot of 2),16.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-Chronicles-Playbook-Zion-Williamson-RC-Rookie-Lot-of-2/133654837663?hash=item1f1e72f99f:g:Z4cAAOSwwudgBpGI
2019-20 National Treasures Apprentice Ink Zion Williamson RC Rookie AUTO 17/25,2676.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-National-Treasures-Apprentice-Ink-Zion-Williamson-RC-Rookie-AUTO-17-25/154331892216?hash=item23eee5c9f8:g:ucwAAOSwLTZf7R9z
